PATIENT,The letter 's' followed by a randomly-assigned six-digit number.
SLUMS_2_TIME_SINCE_INDEX_days,The number of days that have passed between the index event and another use of the Saint Louis University Mental Status (SLUMS) exam. The value here is NA if there were no second instances of the SLUMS (with at least 89% of possible points scored) within the two-year period spanning +/- 365 days of the index event. 
SLUMS_2_ADMINISTERED_BY_DB_1yes_0no,"Was the test administered in author D.B.'s clinic? 1 if yes, 0 if no."
SLUMS_2_LANGUAGE,"The most common value for this column is ENGLISH. If administered in another language in D.B.'s clinic, a professional translator was used. "
SLUMS_2_TOTAL_SCORE,"The total score on the SLUMS. Possible values are integers between 0 and 30, or NA. In the few cases where SLUMS was administered in another clinic, there was sometimes incomplete information about item-level performance (next columns) even if the total score was documented."
SLUMS_2_POSSIBLE_SCORE,"In general, the total possible score is 30. However, incomplete use of the SLUMS was still logged so long as >89% of the possible points were tested/scored. Thus, possible values are integers between 27 and 30, or NA."
SLUMS_2_SCORE_day,"If the patient correctly answered the question ""What day of the week is it?"", 1 point. If incorrect, 0 points. If not asked, NA."
SLUMS_2_SCORE_year,"If the patient correctly answered the question ""What is the year?"", 1 point. If incorrect, 0 points. If not asked, NA."
SLUMS_2_SCORE_state,"If the patient correctly answered the question ""What state are we in?"", 1 point. If incorrect, 0 points. If not asked, NA."
SLUMS_2_SCORE_math,"The total score of two math questions ""How much did you spend?"" and ""How much do you have left?"" Cognizant that it may now be more common to encounter apples that cost $3 each, rather than the intended $3 per dozen, that specific type of error on the first item was sometimes corrected (""Actually, it would be $23, since the $3 was for the entire set of apples."") to see if the second item could be answered correctly. "
SLUMS_2_SCORE_animals,The total score -- between 0 and 3 -- when asked to name as many animals as one can in a minute. No points are awarded if fewer than five unique animals are named. One point is awarded if 5-9 unique animals are named. Two points are awarded if 10-14 animals are named. Three points are awarded if at least 15 unique animals are named.
SLUMS_2_SCORE_fivewordrecall,"The number of five previously-heard words (apple, pen, tie, house, car) that were freely recalled without hints/cues. The value for this column is an integer between 0 and 5, or NA."
SLUMS_2_SCORE_digitspan,"The number of correct reverse digit spans; either 0, 1, or 2 (or if the task was not given, NA)."
SLUMS_2_SCORE_clockmarkers,"If the patient places all 12 numbers in ""approximately in the correct position"" (per SLUMS score rules), then the value is 2. If not, the value is 0 (or if the task was not given, NA)."
SLUMS_2_SCORE_clocktime,"If the patient places the hour and minute hands in the correct position -- so that the clock reads approximately 10:50 -- then the value is 2. If not, the value is 0 (or if the task was not given, NA)."
SLUMS_2_SCORE_shapes,"The sum of the two shape-related tasks -- each worth one point -- ""Please place an X in the triangle"" and identifying which of the three shapes is the largest. The value in this column is an integer between 0 and 2 (or if the task was not given, NA)."
SLUMS_2_SCORE_storyrecall,"The sum of points earned when testing scoring recall. Each of the four questions is worth two points. The value in this column is either 8, 6, 4, 2, or 0 (or if the task was not given, NA)."
SLUMS_2_COUNT_animals_named_in_60s,"Where available, the total number of unique animals listed by the patient within 60 seconds."
HIDE4_TIME_SINCE_INDEX_days,"This is a casual memory test extremely similar to the Three-Objects-Three-Places Test (""3O3P""; DOI: 10.1080/03610730600875767), but with four objects and four places. Because author D.B. was the only provider regularly using this casual assessment of memory for these patients (no instances of use by other providers were documented among patients D.B. saw), there is no ""_ADMINISTERED_BY_DB_1yes_0no"" column. Near the end of the office visit, to perform this informal test of memory, the examiner would sequentially hide four uncommon objects in the room (with rare expectation, this was a Trömner reflex hammer, a tuning fork, a pen light, and a stethoscope). Each was displayed with motion and commented on (e.g., the examiner explains the hammer looks a bit like a hammer, but has a rubber piece at the head, it moves like a hammer [while swinging the hammer], and indeed was used like a hammer while testing reflexes) as it was slowly being hidden. It was also explained that the specific name of the object was not needed, and simply commenting ""the thing with the rubber piece"" or miming the hammering motion would be enough to uniquely identify the object. The examiner's monologue and use of uncommon objects was meant to engage the patient while making it harder for the patient to employ any verbal mnemonics. After several minutes that were typically spent discussing other test results, the examiner would ask ""What did I hide and where did I hide it?"". Identifying -- with words or pointing -- the hiding places would earn points (""Something is hidden in the bottom drawer.""), identifying the objects would earn points (""You hid a hammer.""), and extra points would be earned by linking that information -- ""You hid a hammer is in the bottom drawer""). The willingness to score a patient with aphasia (because pointing and miming are permissible) does depart slightly from the 3O3P, but it is otherwise so similar that we expect it will inherit the 3O3P's predictive value."
HIDE4_LANGUAGE,"The most common value for this column is ENGLISH. If administered in another language in D.B.'s clinic, it was common to use a relative in the room as an _ad hoc_ translator, but a professional translator may also have been used. "
HIDE4_PLACES_RECALLED,"The number of hiding places a patient recalls (of four attempts at identifying a hiding place). The value is either NA, or an integer between 0 and 4."
HIDE4_ITEMS_RECALLED,"The number of hidden items a patient recalls (of four attempts at identifying a hiding place). The value is either NA, or an integer between 0 and 4."
HIDE4_ITEMS_LINKED_WITH_PLACES,"The number of times a patient correctly linked a hidden object and its hiding place (see ""HIDE4_TIME_SINCE_INDEX_days"" description for an example). The value is either NA, or an integer between 0 and 4. The value in this column cannot exceed the value in ""HIDE4_PLACES_RECALLED"" or ""HIDE4_ITEMS_RECALLED"" (whichever is lower)."

